TAG,className,classFaction,classType,mainWeapon,subWeapon,mainStat,subStat,criRate,unionInfo,unionB,unionA,unionS,unionSS,unionSSS,linkIcon,linkName,linkInfo,linkDesc,identityIcon,identityDesc,identityIcon2,identityDesc2,identityIcon3,identityDesc3,upColorR,upColorG,upColorB,downColorR,downColorG,downColorB
11,섀도어,모험가,도적,단검,단검집&방패,LUK,STR&DEX,55%,LUK 증가,10,20,40,80,100,0000261,시프 커닝,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",적에게 상태 이상을 적용시키면 10초 동안 데미지 3% ~ 18% 증가\\n[재발동 대기시간 : 20초],4201017,"적을 공격하면, 적이 가지고 있던 메소를 훔칠 수 있습니다. 보스 몬스터의 경우라면 공격력이 증가하는 물약을 훔칩니다.",4221018,적이 흘린 메소는 섀도어의 공격 투사체가 될 수 있습니다. [메소 익스플로젼] 으로 떨어진 메소를 무기로 사용하세요.,0,0,255,0,0,60,0,150
12,듀얼블레이드,모험가,도적,단검,블레이드,LUK,STR&DEX,40%,LUK 증가,10,20,40,80,100,0000261,시프 커닝,"도적 특유의 교활함을 발휘해 적을 약화시키면 데미지가 증가한다.\\n재사용 대기시간 초기화, 버프 지속시간 증가의 효과를 받지 않는다.\\n월드 내 서로 다른 모험가 도적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.",적에게 상태 이상을 적용시키면 10초 동안 데미지 3% ~ 18% 증가\\n[재발동 대기시간 : 20초],4300000,"듀얼블레이드는 특이하게도, 전직 단계가 더 많습니다. 20레벨에 1+ 차, 45레벨에 2+ 차 전직을 할 수 있습니다.",4341002,보스 전투에서 자신의 생존에 도움이 되는 스킬을 여러 개 가지고 있습니다.,400041021,듀얼블레이드의 스킬은 대체로 재사용 대기시간이 짧은 편입니다. 강력한 스킬을 거의 끊임 없이 사용할 수 있습니다.,200,200,0,255,0,0
13,바이퍼,모험가,해적,너클,리스트밴드,STR,DEX,40%,STR 증가,10,20,40,80,100,0000265,파이렛 블레스,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.","올스탯 20 ~ 70 , 최대 HP/MP 350 ~ 1225 증가\\n피격 데미지 5% ~ 15% 감소\\n[재사용 대기시간 : 5초]",5101017,[격투] 스킬을 사용하면 일정 시간마다 [수룡] 스킬을 사용할 수 있습니다. [수룡] 스킬을 여러 번 발동시키면 [어썰트] 스킬을 사용할 수 있습니다.,5121007,"[격투] 스킬로 [어썰트] 스킬을 발동시켜 적을 공격하고, 바이퍼의 공격에 더 많은 피해를 받는 디버프를 걸어주세요.",0,0,0,0,140,0,0,255
14,캡틴,모험가,해적,총,조준기,DEX,STR,75%,소환수 지속시간 증가,4%,6%,8%,10%,12%,0000265,파이렛 블레스,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.","올스탯 20 ~ 70 , 최대 HP/MP 350 ~ 1225 증가\\n피격 데미지 5% ~ 15% 감소\\n[재사용 대기시간 : 5초]",5211014,"캡틴은 혼자 싸우지 않습니다. 선원과 대포와 같은 소환수를 데리고 다니며, 선원이 소환되어 있으면 캡틴의 능력치가 크게 증가합니다.",5221016,캡틴 본인은 총을 이용한 강력한 공격으로 적을 상대합니다.,0,0,255,0,0,255,140,0
15,캐논슈터,모험가,해적,핸드캐논,화약통,STR,DEX,45%,STR 증가,10,20,40,80,100,0000265,파이렛 블레스,"해적 특유의 강인함을 익혀 각종 스탯이 증가하고 피격 데미지가 감소된다.\\n월드 내 서로 다른 모험가 해적 직업군이 존재할 경우 한 캐릭터에 최대 3번 중복해서 링크 스킬 지급이 가능하다.\\n스킬을 사용하면 무기, 보조 무기, 아케인심볼, 어센틱심볼, 펫장비를 제외한 부위에 장착된 장비의 힘과 민첩이 바뀌어 적용된다.","올스탯 20 ~ 70 , 최대 HP/MP 350 ~ 1225 증가\\n피격 데미지 5% ~ 15% 감소\\n[재사용 대기시간 : 5초]",5321004,다양한 원숭이 소환수가 캐논슈터의 전투를 돕습니다.,5321000,"강력한 화력을 가진 핸드 캐논으로, 넓은 범위로 적을 공격합니다.",0,0,255,140,0,255,0,0
16,소울마스터,기사단,전사,검,보석&방패,STR,DEX,50%,최대 HP 증가,250,500,1000,2000,2500,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",11101031,"해와 달의 힘을 이용한 검술을 사용합니다. 낮과 밤이 계속 바뀌듯, 태양 검술과 달 검술을 번갈아 사용합니다.",11121018,"번갈아 사용하는 검술로 적을 공격하면, 소울마스터는 코스믹 오브를 얻습니다. 코스믹 오브를 소모하여 강력한 [코스믹] 스킬을 사용합니다.",0,0,255,160,0,0,160,255
17,미하일,기사단,전사,한손검,소울 실드,STR,DEX,40%,최대 HP 증가,250,500,1000,2000,2500,50001214,빛의 수호,빛의 수호를 받아 일정 시간 동안 적에게서 받는 피해를 방어하고 데미지가 증가한다. 링크 스킬로 사용 시 일정 시간 상태 이상 내성이 증가한다.,"15초 / 30초 동안 보호막이 생성, 최대 3 / 6 번의 피해를 방어, 데미지 15% / 20% 증가\\n단, 최대 HP의 일정 비율로 피해를 입히는 공격에 한해 피해 10% / 20% 감소\\n[재사용 대기시간 : 180초]\\n\\n링크 스킬로 사용 시 : 10초 / 15초 동안 상태 이상 내성 100 증가\\n[재사용 대기시간 : 120초]",51001005,"피격 타이밍에 맞게 [로얄 가드] 를 사용하면, 강력한 반격과 동시에 미하일은 무적 상태가 됩니다.",400011011,파티원의 생존에 매우 큰 도움을 주는 미하일은 파티에서 탱커 역할을 할 수 있습니다.,0,0,255,160,0,255,255,0
18,플레임위자드,기사단,마법사,완드&스태프,보석&방패,INT,LUK,40%(완드 45%),INT 증가,10,20,40,80,100,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",12001028,이동 스킬로 텔레포트를 사용하지 않는 마법사입니다.,12001020,"[오비탈 플레임] 스킬을 1차 전직 때부터 배우지만, 이 스킬은 계속 강화되어 이후엔 강력한 스킬로 변하게 됩니다.",0,0,255,255,0,255,50,0
19,윈드브레이커,기사단,궁수,활,보석,DEX,STR,60%,DEX 증가,10,20,40,80,100,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",13101022,[트라이플링 윔] 은 윈드브레이커가 스킬을 사용하면 자동으로 나가는 공격입니다. 윈드브레이커의 핵심 스킬입니다.,13121017,바람의 정령의 지속적인 변덕은 정신 없이 적을 공격합니다.,400031030,"윈드브레이커는 적을 도발하는 스킬과 강력한 방어막으로, 자신의 생존력을 강화합니다.",150,255,150,30,255,30
20,나이트워커,기사단,도적,아대,보석,LUK,DEX,40%,LUK 증가,10,20,40,80,100,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",14001027,"그림자로 이루어진 박쥐가 나이트워커의 전투를 돕습니다. 쉐도우 배트는 나이트워커의 사냥 능력을, 래버너스 배트는 보스 공격을 강화합니다.",400041059,"[스로우] 스킬로 표창을 쏟아붓는데, 나이트워커의 공격을 따라하는 그림자도 표창을 쏟아부어 셀 수 없이 많은 표창 공격을 합니다.",0,0,90,0,120,160,0,255
21,스트라이커,기사단,해적,너클,보석,STR,DEX,40%,STR 증가,10,20,40,80,100,10000255,시그너스 블레스,각성한 여제의 가호가 몸에 깃들어 적의 위협으로부터 벗어난다.\\n월드 내 서로 다른 시그너스 직업군이 존재할 경우 한 캐릭터에 최대 5번 중복해서 링크 스킬 지급이 가능하다.,"공격력과 마력 7 ~ 25, 상태 이상 내성 1 ~ 15, 모든 속성 내성 1% ~ 15% 증가",15000023,"스킬을 끊임없이 연계해서, 스트라이커의 능력치를 크게 증가시킵니다. 스킬을 연계로 사용할 때 [뇌전] 버프를 얻습니다.",15120003,연계로 획득한 [뇌전] 버프는 [연쇄 스킬] 로 소모합니다. 뇌전 버프를 소모할 때 스트라이커는 능력치 증가 효과를 얻습니다.,0,0,0,255,255,0,200,255
22,아란,영웅,전사,폴암,무게추,STR,DEX,55%(콤보 10 중첩),타격 시 70% 확률로 HP 회복,2%,4%,6%,8%,10%,20000297,콤보킬 어드밴티지,폴암의 정령 마하의 신비한 힘을 통해 콤보 플레이에 대한 축복을 받는다.,영구적으로 콤보킬 구슬 경험치 획득량 400% / 650% 추가 획득,21001010,[스매쉬 스윙] 스킬을 기본 공격으로 사용합니다.,21110000,스킬로 적을 공격하면 콤보 카운트를 얻습니다. 콤보 카운트를 쌓으면 아란은 강력한 공격을 할 수 있습니다.,21110016,쌓은 콤보 카운트를 소모하여 아드레날린 상태가 됩니다. 이 때 아란의 거의 모든 공격이 강화됩니다.,0,190,255,255,0,0
23,에반,영웅,마법사,완드&스태프,문서,INT,LUK,50%(완드 55%),타격 시 70% 확률로 MP 회복,2%,4%,6%,8%,10%,20010294,룬 퍼시스턴스,룬의 마력을 증폭시켜 해방된 룬 힘의 지속시간을 증가 시킨다.,해방된 룬의 힘 지속시간 30% / 50% 증가,22111012,에반은 드래곤인 미르에게 스킬로 공격 명령을 내릴 수 있습니다. 미르가 공격하는 스킬은 [미르 스킬] 입니다.,22170066,"미르가 스킬을 쓰고 있을 때, 에반이 특정 스킬을 사용하면 [융합 스킬] 이 발동됩니다. 융합 스킬은 적에게 매우 강한 피해를 줍니다.",22111017,"미르가 미르 스킬이나 융합 스킬에 상관없이 스킬 사용중일 때, 에반이 [돌아와!] 스킬을 사용하면 미르는 즉시 공격을 멈추며 버프, 불 장판 등 효과를 발동합니다.",0,190,255,150,0,255
24,루미너스,영웅,마법사,샤이닝로드,오브,INT,LUK,40%,INT 증가,10,20,40,80,100,20040218,퍼미에이트,무엇으로 가려도 스며드는 빛의 힘으로 적의 방어를 일정 부분 무시한다.,적 공격 시 방어율 무시 10% / 15% 증가,20040219,"루미너스는 빛 또는 어둠으로 두 가지 속성의 스킬을 사용합니다. 평소에는 둘 중 한 속성만 강화시킬 수 있지만, [이퀄리브리엄] 상태일 땐 두 가지 속성이 모두 강화됩니다.",27121303,"[이퀄리브리엄] 스킬은 매우 강력하여 재사용 대기시간이 있지만, 루미너스가 [이퀄리브리엄 강화] 상태일 땐 재사용 대기시간 없이 스킬을 사용할 수 있습니다.",0,0,150,255,255,60,0,60
25,메르세데스,영웅,궁수,듀얼보우건,마법 화살,DEX,STR,60%,스킬 재사용 대기시간 감소,2%,3%,4%,5%,6%,20021110,엘프의 축복,"[종족특성 스킬] 고대 엘프의 축복으로 에우렐로 돌아갈 수 있고,  영구적으로 경험치를 추가로 받을 수 있다.",사용 시 에우렐로 귀환\\n[재사용 대기시간 : 600초]\\n[추가효과 : 영구적으로 경험치 10% / 15% 추가 획득],23110004,"연계 스킬로 적을 끊임 없이 공격하면, 메르세데스의 능력치가 크게 증가합니다.",23121002,"강력한 공격과 동시에 적의 능력치를 감소시키고, 충돌을 무시하는 디버프를 걸 수 있습니다.",0,0,255,255,0,0,255,0
26,팬텀,영웅,도적,케인,카드,LUK,DEX,75%(포츈 카드 적용),메소 획득량 증가,1%,2%,3%,4%,5%,20030204,데들리 인스팅트,뛰어난 통찰력을 통해 적의 치명적인 약점을 찾아내는 본성을 가지고 있다.,크리티컬 확률 10% / 15% 증가,24120002,"팬텀이 적을 공격하면, 카드가 나와 적을 추가로 공격합니다.",24121001,"팬텀은 모험가의 스킬을 훔쳐서, 자신이 모험가의 스킬을 사용할 수 있습니다.",0,0,0,80,255,80,0,255
27,은월,영웅,해적,너클,여우 구슬,STR,DEX,40%,크리티컬 데미지 증가,1%,2%,3%,4%,5%,20050286,구사 일생,"사망에 이르는 공격을 당했을 시, 일정 확률로 죽지 않는다.","사망에 이르는 공격을 당할 시, 5% / 10% 확률로 생존",25121005,"정령을 강령시켜, 넓은 범위로 적을 공격합니다.",25101205,"스킬 시전 중에 이동 스킬을 사용해서, 더 빠르게 다음 공격을 이어갈 수 있습니다.",0,0,0,255,0,255,0,0
28,데몬슬레이어,레지스탕스,전사,한손 둔기,포스실드,STR,DEX,40%(데몬 어웨이크닝 미적용),상태이상 내성 증가,1,2,3,4,5,30010112,데몬스 퓨리,"대상이 보스 몬스터 일 경우, 내면에 잠재된 분노를 이끌어 내 더욱 강력한 데미지를 입히고 데몬 슬래시 사용 시 추가 포스를 흡수한다.","보스 몬스터 공격 시 데미지 10% / 15% 증가, 10의 포스 추가 흡수",31110010,[데몬 슬래시] 스킬을 기본 공격으로 사용합니다.,31110009,"마나를 사용하는 직업들과 달리, 데몬 포스[DF] 라는 자원을 사용합니다. 전투 중간 중간에 [데몬 슬래시] 를 써서 데몬 포스를 회복해야 할 겁니다.",400011077,"대부분의 주 공격 스킬에 [크리티컬 확률 증가] 효과가 붙어 있어, 기본 크리티컬 확률이 낮더라도 대부분의 공격을 크리티컬로 입힐 수 있습니다.",120,0,255,60,0,100
29,데몬어벤져,레지스탕스,전사,데스페라도,포스실드,HP,STR,40%,보스 공격 시 데미지 증가,1%,2%,3%,4%,5%,30010241,와일드 레이지,분노로 인해 데미지가 증가한다.,데미지 5% / 10% 증가,30010242,"MP를 사용하지 않으며, HP가 데몬어벤져의 주 스탯이 됩니다. HP 최대치를 넘기더라도 데몬어벤져의 공격력은 계속 증가합니다.",31210005,데몬어벤져는 [익시드] 스킬로 공격할 때 자신의 HP를 소비합니다.,31011001,[익시드] 스킬을 계속 사용하면 [릴리즈 오버로드] 스킬을 사용해서 체력을 다시 회복할 수 있습니다. 이 때 능력치가 증가하는 효과도 함께 받습니다.,120,0,255,0,0,180
30,블래스터,레지스탕스,전사,건틀렛 리볼버,장약,STR,DEX,65%(콤비네이션 트레이닝 II 10 중첩),방어율 무시 증가,1%,2%,3%,4%,5%,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",37120012,블래스터는 스킬 연계와 스킬 딜레이 상쇄 등의 조작으로 능력치를 증가시킬 수 있습니다.,37001002,"강력한 폭발 공격이 블래스터의 매력이지만, 조작 난이도가 매우 높기로 유명합니다.",0,0,255,200,0,255,30,0
31,배틀메이지,레지스탕스,마법사,스태프,마법구슬,INT,LUK,60%(배틀 레이지 적용),INT 증가,10,20,40,80,100,30000074,스피릿 오브 프리덤,자유를 염원하는 레지스탕스가 가진 혼의 힘이다. 월드 내 서로 다른 레지스탕스 직업군이 존재할 경우 한 캐릭터에 최대 4번 중복해서 링크 스킬 지급이 가능하다.,"부활 시 1초 ~ 8초 동안 무적 상태, 맵 이동 시 해제",32001014,배틀메이지는 흑마술을 사용해 사신과 계약했습니다. 사신은 배틀메이지의 전투를 도와줍니다.,32121010,배틀메이지는 근접 전투에 특화된 마법사입니다. 스태프를 휘둘러 적을 상대합니다.,400021006,배틀메이지는 오라 버프를 사용합니다. 자신과 주변 파티원을 다양한 버프 효과로 지원합니다.,75,0,150,60,0,90
